0,0000;Free Locomotion;;;
0,2000;Free Locomotion;;Interaction;
0,4000;Free Locomotion;;Interaction;
0,6000;Free Locomotion;;Interaction;
0,8000;Free Locomotion;;Interaction;
1,0000;Free Locomotion;;Interaction;
1,2000;Free Locomotion;;Interaction;
1,4000;Free Locomotion;;Interaction;
1,6000;Free Locomotion;;Interaction;
1,8000;Free Locomotion;;Interaction;
2,0000;Free Locomotion;;Interaction;
2,2000;Free Locomotion;;Interaction;
2,4000;Free Locomotion;;Interaction;
2,6000;Free Locomotion;;Interaction;
2,8000;Free Locomotion;;Interaction;
3,0000;Free Locomotion;;Interaction;
3,2000;Free Locomotion;;Interaction;
3,4000;Free Locomotion;;Interaction;
3,6000;Free Locomotion;;Interaction;
3,8000;Free Locomotion;;Interaction;
4,0000;Free Locomotion;;;
4,2000;Free Locomotion;;;
4,4000;Free Locomotion;;;Freeze
4,6000;No Movement;Lights On!;;Freeze
4,8000;No Movement;Lights On!;;Freeze
5,0000;No Movement;Lights On!;;Freeze
5,2000;No Movement;Lights On!;;Freeze
5,4000;No Movement;Lights On!;;Freeze
5,6000;No Movement;Lights On!;;Freeze
5,8000;No Movement;Lights On!;;Freeze
6,0000;No Movement;Lights On!;;Freeze
6,2000;Attack;Lights On!;;Freeze
6,4000;Attack;Lights On!;;Freeze
6,6000;Attack;Lights On!;;Freeze
6,8000;Attack;Lights On!;;Freeze
7,0000;Attack;Lights On!;;Freeze
7,2000;Attack;Lights On!;;Freeze
7,4000;Attack;Lights On!;;Freeze
7,6000;Attack;Lights On!;;Freeze
7,8000;Attack;Lights On!;;Freeze
8,0000;Attack;Lights On!;;Freeze
8,2000;Attack;Lights On!;;Freeze
8,4000;Attack;Lights On!;;Freeze
8,6000;Attack;Lights On!;;Freeze
8,8000;Attack;Lights On!;;Freeze
9,0000;Attack;Lights On!;;Freeze
9,2000;Close Investigation;Lights On!;;Freeze
9,4000;Close Investigation;Lights On!;;Freeze
9,6000;Close Investigation;Lights On!;;Freeze
9,8000;Close Investigation;Lights On!;;Freeze
10,0000;Close Investigation;Lights On!;;Freeze
10,2000;Close Investigation;Lights On!;;Freeze
10,4000;Close Investigation;Lights On!;;Freeze
10,6000;Close Investigation;Lights On!;;Freeze
10,8000;Close Investigation;Lights On!;;Freeze
11,0000;Close Investigation;Lights On!;;Freeze
11,2000;Close Investigation;Lights On!;;Freeze
11,4000;Close Investigation;Lights On!;;Freeze
11,6000;Close Investigation;Lights On!;;Freeze
11,8000;Close Investigation;Lights On!;;Freeze
12,0000;Close Investigation;Lights On!;;Freeze
12,2000;Close Investigation;Lights On!;;Freeze
12,4000;Close Investigation;Lights On!;;Freeze
12,6000;Close Investigation;Lights On!;;Freeze
12,8000;Close Investigation;Lights On!;;Freeze
13,0000;Close Investigation;Lights On!;;Freeze
13,2000;Close Investigation;Lights On!;;Freeze
13,4000;Close Investigation;Lights On!;;Freeze
13,6000;Close Investigation;Lights On!;;Freeze
13,8000;Close Investigation;Lights On!;;Freeze
14,0000;Close Investigation;Lights On!;;Freeze
